,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],0.006,1.173,-2.088,2.282,0.027,0.019,1780.0,3576.0,1.0
beta[1],1.044,0.144,0.735,1.291,0.013,0.009,163.0,171.0,1.02
beta[2],1.094,0.082,0.941,1.256,0.006,0.005,140.0,151.0,1.03
beta[3],0.089,1.14,-2.191,2.122,0.027,0.032,1798.0,3567.0,1.02
beta[4],1.051,0.489,-0.045,1.654,0.062,0.044,266.0,40.0,1.07
beta[5],-0.463,0.074,-0.589,-0.307,0.002,0.002,1035.0,3616.0,1.0
beta[6],-1.463,0.097,-1.651,-1.286,0.002,0.001,2616.0,5748.0,1.0
gamma[0],0.172,0.377,0.0,1.0,0.037,0.026,106.0,106.0,1.02
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],0.176,0.381,0.0,1.0,0.091,0.065,18.0,18.0,1.17
gamma[4],0.938,0.242,0.0,1.0,0.059,0.043,17.0,17.0,1.18
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.216,0.412,0.0,1.0,0.03,0.021,193.0,193.0,1.01
gamma_prev[1],0.89,0.312,0.0,1.0,0.003,0.002,9891.0,9891.0,1.0
gamma_prev[2],0.883,0.321,0.0,1.0,0.003,0.002,9206.0,9206.0,1.0
gamma_prev[3],0.216,0.412,0.0,1.0,0.072,0.052,32.0,32.0,1.09
gamma_prev[4],0.836,0.371,0.0,1.0,0.047,0.033,62.0,62.0,1.04
gamma_prev[5],0.893,0.309,0.0,1.0,0.003,0.002,10352.0,10352.0,1.0
gamma_prev[6],0.896,0.305,0.0,1.0,0.003,0.002,10488.0,10488.0,1.0
sigma2,0.092,0.009,0.076,0.11,0.0,0.0,13727.0,7596.0,1.0
beta_ori,0.031,0.566,-1.052,1.068,0.027,0.019,436.0,1263.0,1.01
eta,1.342,0.649,0.444,2.465,0.015,0.011,1974.0,3662.0,1.0
pi,0.61,0.268,0.131,1.0,0.003,0.002,10596.0,7502.0,1.0
p[0],0.033,0.021,0.0,0.068,0.001,0.001,453.0,189.0,1.01
p[1],0.033,0.02,0.0,0.061,0.0,0.0,766.0,304.0,1.01
p[2],0.033,0.021,0.0,0.061,0.001,0.001,454.0,413.0,1.01
p[3],0.034,0.022,0.0,0.065,0.001,0.001,411.0,245.0,1.01
p[4],0.034,0.022,0.0,0.065,0.001,0.001,446.0,210.0,1.01
p[5],0.033,0.02,0.0,0.062,0.0,0.0,1018.0,331.0,1.01
p[6],0.033,0.021,0.0,0.061,0.001,0.0,1191.0,567.0,1.0
p[7],0.041,0.047,0.0,0.082,0.005,0.004,116.0,104.0,1.04
p[8],0.033,0.021,0.0,0.064,0.001,0.0,648.0,304.0,1.01
p[9],0.033,0.02,0.0,0.062,0.001,0.0,791.0,306.0,1.01
p[10],0.032,0.02,0.0,0.062,0.001,0.0,554.0,284.0,1.01
p[11],0.032,0.019,0.0,0.061,0.001,0.0,578.0,278.0,1.01
p[12],0.032,0.019,0.0,0.06,0.0,0.0,857.0,367.0,1.01
p[13],0.033,0.02,0.0,0.062,0.001,0.0,622.0,335.0,1.01
p[14],0.034,0.022,0.0,0.064,0.001,0.001,244.0,417.0,1.02
p[15],0.032,0.02,0.0,0.06,0.001,0.0,766.0,325.0,1.01
p[16],0.038,0.041,0.0,0.07,0.006,0.004,206.0,76.0,1.02
p[17],0.032,0.02,0.0,0.061,0.0,0.0,977.0,458.0,1.01
p[18],0.034,0.021,0.0,0.069,0.001,0.001,459.0,182.0,1.01
p[19],0.032,0.02,0.0,0.06,0.0,0.0,649.0,244.0,1.01
p[20],0.032,0.019,0.0,0.06,0.0,0.0,1090.0,358.0,1.0
p[21],0.035,0.024,0.0,0.068,0.001,0.001,372.0,421.0,1.01
p[22],0.033,0.022,0.0,0.062,0.001,0.0,1089.0,505.0,1.01
p[23],0.032,0.02,0.0,0.061,0.001,0.0,603.0,377.0,1.01
p[24],0.032,0.019,0.0,0.061,0.0,0.0,923.0,339.0,1.01
p[25],0.033,0.02,0.0,0.062,0.001,0.0,652.0,331.0,1.01
p[26],0.034,0.021,0.0,0.065,0.001,0.001,299.0,447.0,1.01
p[27],0.033,0.021,0.0,0.062,0.001,0.001,542.0,388.0,1.01
p[28],0.033,0.021,0.0,0.063,0.001,0.0,765.0,288.0,1.01
p[29],0.033,0.022,0.0,0.062,0.001,0.001,365.0,300.0,1.01
