,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta[0],-2.702,0.178,-2.993,-2.385,0.049,0.036,13.0,22.0,1.23
beta[1],0.52,0.053,0.441,0.632,0.015,0.011,13.0,139.0,1.22
beta[2],1.072,0.029,1.015,1.128,0.007,0.005,18.0,18.0,1.16
beta[3],1.06,0.043,0.973,1.133,0.011,0.008,16.0,26.0,1.19
beta[4],-0.989,0.031,-1.054,-0.937,0.002,0.002,203.0,274.0,1.02
beta[5],0.326,0.073,0.184,0.458,0.015,0.011,25.0,187.0,1.11
beta[6],-0.304,0.048,-0.396,-0.215,0.002,0.002,394.0,476.0,1.04
beta[7],0.474,0.024,0.429,0.519,0.003,0.002,58.0,297.0,1.06
gamma[0],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[1],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[2],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[3],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[4],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[5],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[6],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma[7],1.0,0.0,1.0,1.0,0.0,0.0,12000.0,12000.0,
gamma_prev[0],0.872,0.334,0.0,1.0,0.004,0.003,8917.0,8917.0,1.0
gamma_prev[1],0.876,0.329,0.0,1.0,0.004,0.003,6198.0,6198.0,1.01
gamma_prev[2],0.868,0.338,0.0,1.0,0.003,0.002,9709.0,9709.0,1.0
gamma_prev[3],0.882,0.323,0.0,1.0,0.003,0.002,9892.0,9892.0,1.0
gamma_prev[4],0.876,0.33,0.0,1.0,0.004,0.002,8853.0,8853.0,1.0
gamma_prev[5],0.873,0.333,0.0,1.0,0.004,0.003,6141.0,6141.0,1.01
gamma_prev[6],0.871,0.335,0.0,1.0,0.003,0.002,9724.0,9724.0,1.0
gamma_prev[7],0.873,0.333,0.0,1.0,0.004,0.003,7299.0,7299.0,1.0
sigma2,0.027,0.002,0.024,0.03,0.0,0.0,28.0,675.0,1.1
beta_ori,-0.157,0.452,-0.885,0.694,0.075,0.053,36.0,155.0,1.08
eta,2.145,1.134,0.588,3.794,0.085,0.06,133.0,523.0,1.13
pi,0.713,0.274,0.192,0.984,0.091,0.066,14.0,70.0,1.2
p[0],0.031,0.015,0.003,0.054,0.003,0.002,21.0,190.0,1.13
p[1],0.031,0.014,0.005,0.054,0.001,0.001,68.0,355.0,1.05
p[2],0.03,0.014,0.0,0.051,0.002,0.001,46.0,147.0,1.06
p[3],0.038,0.027,0.006,0.061,0.004,0.003,24.0,128.0,1.11
p[4],0.033,0.014,0.002,0.055,0.001,0.001,142.0,175.0,1.13
p[5],0.032,0.014,0.005,0.055,0.001,0.001,81.0,144.0,1.17
p[6],0.034,0.015,0.007,0.058,0.001,0.001,109.0,506.0,1.2
p[7],0.037,0.016,0.011,0.062,0.002,0.002,23.0,251.0,1.11
p[8],0.038,0.017,0.006,0.06,0.004,0.003,17.0,154.0,1.15
p[9],0.03,0.015,0.007,0.056,0.003,0.002,25.0,218.0,1.15
p[10],0.036,0.016,0.01,0.066,0.002,0.002,36.0,85.0,1.08
p[11],0.035,0.013,0.007,0.055,0.002,0.001,53.0,228.0,1.06
p[12],0.031,0.014,0.006,0.055,0.002,0.001,33.0,373.0,1.07
p[13],0.037,0.018,0.011,0.075,0.004,0.003,18.0,20.0,1.18
p[14],0.032,0.014,0.008,0.058,0.001,0.001,126.0,472.0,1.19
p[15],0.041,0.02,0.008,0.065,0.002,0.002,40.0,179.0,1.07
p[16],0.03,0.013,0.0,0.05,0.001,0.0,174.0,196.0,1.13
p[17],0.03,0.013,0.004,0.052,0.002,0.002,35.0,286.0,1.22
p[18],0.032,0.015,0.008,0.055,0.002,0.001,40.0,313.0,1.24
p[19],0.032,0.015,0.007,0.058,0.002,0.001,56.0,212.0,1.07
p[20],0.036,0.019,0.008,0.066,0.004,0.003,20.0,158.0,1.13
p[21],0.031,0.013,0.005,0.053,0.001,0.001,58.0,162.0,1.12
p[22],0.035,0.015,0.009,0.058,0.004,0.003,21.0,542.0,1.13
p[23],0.031,0.014,0.004,0.053,0.002,0.002,29.0,405.0,1.09
p[24],0.032,0.017,0.0,0.059,0.002,0.002,55.0,88.0,1.06
p[25],0.035,0.016,0.011,0.068,0.002,0.002,31.0,84.0,1.1
p[26],0.03,0.019,0.0,0.053,0.004,0.003,16.0,82.0,1.18
p[27],0.033,0.017,0.004,0.053,0.002,0.001,34.0,379.0,1.08
p[28],0.031,0.015,0.0,0.053,0.001,0.001,187.0,158.0,1.2
p[29],0.034,0.014,0.005,0.059,0.001,0.001,116.0,150.0,1.04
